S.No,Test,SGX,BaseOS,Issue Link
1,test_ltp[select01],Gramine Native,,
2,test_ltp[select01],Gramine SGX,,
3,test_ltp[select03],Gramine Native,,
4,test_ltp[clock_gettime01],Gramine Native,,
5,test_ltp[clock_gettime01],Gramine SGX,,
6,test_ltp[select01],Gramine EDMM,,
7,test_ltp[clock_gettime01],Gramine EDMM,,
8,test_310_socket_tcp_ipv6_v6only,Gramine Native,,
9,test_310_socket_tcp_ipv6_v6only,Gramine SGX,,
10,test_310_socket_tcp_ipv6_v6only,Gramine EDMM,,
11,test_redis_latest_image_with_attestation,Gramine Curation,,
12,test_gcc_workload,Gramine SGX,Alpine 3.18,
13,test_nodejs_workload,,Alpine 3.18,
14,test_busybox_workload,,Ubuntu 24.04,
15,test_busybox_workload,,Centos 9,
